,,, Wholesale ,, SRP 
CBD Water,500ml,, $2.50 ,, $4.99 
Energy Shot -  Ampd,57ml,, $3.00 ,, $5.99 
CBD Sleep Shot - NanoZ,57ml,, $3.00 ,, $5.99 
Vita Dots (Tayberry) - bottle,30 pieces,, $17.50 ,, $34.99 
Vita Dots (Acai) - bottle,30 pieces,, $17.50 ,, $34.99 
CBD Spray - Brain(Focus),1oz,, $30.00 ,, $59.99 
CBD Spray - Calm(Relax),1oz,, $45.00 ,, $89.99 
CBD Spray - Discomfort(Ease),1oz,, $54.00 ,, $99.99 
Rapid CBD Pain Cream,2oz,, $30.00 ,, $59.99 
,,,,,
CBD Patch,1unit,, $15.00 ,, $29.99 
Rapid CBD Xtends Caps,30 caps,, $50.00 ,, $79.99 
Nano Drops,63ml,, $12.00 ,, $21.99 
,,,,,
CBD Oil - 50,10ml,, $32.00 ,, $59.99 
CBD Oil - 100,10ml,, $60.00 ,, $119.99 
CBD Oil - 150,10ml,, $85.00 ,, $159.99 
CBD Oil - 250,10ml,, $125.00 ,, $229.99 
,,,,,
Cannaceutical - Regen.7 Serum,30ml,, $65.00 ,, $119.99 
Cannaceutical - Rejuve. Cream,50ml,, $55.00 ,, $99.99 
Cannaceutical - Repair Night Cream,50ml,, $55.00 ,, $99.99 
Cannaceutical - Eye/Lip Gel,15ml,, $42.00 ,, $79.99 
Cannaceutical - Enzyme Mask,50ml,, $42.00 ,, $79.99 
Cannaceutical - Refresh Facial Cleanser,200ml,, $35.00 ,, $69.99 
Cannaceutical - Revitalize Toner,100ml,, $35.00 ,, $69.99 
,,,,,
Dab It - Crumble,1 Gr,, $35.00 ,, $69.99 
Dab It - Isolate,1 Gr,, $35.00 ,, $69.99 
Dab It - Distillate,1 Gr,, $35.00 ,, $69.99 
,,,,,
Vape It - Raspberry Cough (75mg CBD),50 ml,, $35.00 ,, $69.99 
Vape It - Strawberry Kush (400mg CBD),50 ml,, $58.00 ,, $109.99 
Vape It - Grape Ape (800mg CBD),50 ml,, $75.00 ,, $139.99 
,,,,,
Add It - Tru Spectrum (100mg CBD),1 Gr,, $12.50 ,, $24.99 
Add It - Tru Spectrum (250mg CBD),1 Gr,, $20.00 ,, $39.99 
Add It - Tru Spectrum (500mg CBD),50 ml,, $58.00 ,, $109.99 
Add It - Tru Spectrum (1000mg CBD),50 ml,, $100.00 ,, $199.99 
Add It - Tru Spectrum (2500mg CBD),50 ml,, $160.00 ,, $299.99 
Add It - Tru Spectrum (5000mg CBD),50 ml,, $250.00 ,, $399.99 
,,,,,
CBD Isoderm Cream,50ml,, $115.00 ,, $199.99 
,,,,,
Therabis Up and Moving- (Small Dog) 5 Pack,3.5g x 5,, $7.00 ,, $13.99 
Therabis Up and Moving - (Medium Dog) 5 Pack,4.7g x 5,, $8.50 ,, $16.99 
Therabis Up and Moving- (Large Dog) 5 Pack,5.4g x 5,, $10.00 ,, $19.99 
Therabis Up and Moving- (Small Dog) 30 Pack,3.5g x 30,, $28.00 ,, $55.99 
Therabis Up and Moving - (Medium Dog) 30 Pack,4.7g x 30,, $40.00 ,, $79.99 
Therabis Up and Moving- (Large Dog) 30 Pack,5.4g x 30,, $50.00 ,, $99.99 
,,,,,
Therabis Calm and Quiet - (Small Dog) 5 Pack,2.4g x 5,, $7.00 ,, $13.99 
Therabis Calm and Quiet - (Medium Dog) 5 Pack,3.5g x 5,, $8.50 ,, $16.99 
Therabis Calm and Quiet - (Large Dog) 5 Pack,4.1g x 5,, $10.00 ,, $19.99 
Therabis Calm and Quiet - (Small Dog) 30 Pack,2.4g x 30,, $28.00 ,, $55.99 
Therabis Calm and Quiet - (Medium Dog) 30 Pack,3.5g x 30,, $40.00 ,, $79.99 
Therabis Calm and Quiet - (Large Dog) 30 Pack,4.1g x 30,, $50.00 ,, $99.99 
,,,,,
Therabis Stop the Itch - (Small Dog) 5 Pack,2.5g x 5,, $7.00 ,, $13.99 
Therabis Stop the Itch - (Medium Dog) 5 Pack,3.8g x 5,, $8.50 ,, $16.99 
Therabis Stop the Itch - (Large Dog) 5 Pack,4.5g x 5,, $10.00 ,, $19.99 
Therabis Stop the Itch - (Small Dog) 30 Pack,2.5g x 30,, $28.00 ,, $55.99 
Therabis Stop the Itch - (Medium Dog) 30 Pack,3.8g x 30,, $40.00 ,, $79.99 
Therabis Stop the Itch - (Large Dog) 30 Pack,4.5g x 30,, $50.00 ,, $99.99 
